 0.045208532 0.048239436 0.043884706 0.059444662 0.061902367 
ago 0.0012734798 0.0010563381 5.1934563E-4 3.910833E-4 0.0010424905 
focus 9.5510983E-4 3.5211266E-4 5.1934563E-4 9.125277E-4 2.1568769E-4 
american 0.0015918497 0.0014084507 5.1934563E-4 3.910833E-4 6.83011E-4 
entire 6.367399E-4 3.5211266E-4 5.1934563E-4 6.518055E-4 8.268028E-4 
homophobic 3.1836994E-4 0.0017605633 2.5967282E-4 2.607222E-4 2.875836E-4 
approach 3.1836994E-4 0.0010563381 5.1934563E-4 2.607222E-4 4.3137537E-4 
homophobia 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 4.6732332E-4 
years 0.0022285897 0.0014084507 0.002856401 0.0031286664 0.005284348 
moral 6.367399E-4 7.042253E-4 7.7901845E-4 5.214444E-4 1.7973974E-4 
turns 6.367399E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 2.875836E-4 
loved 3.1836994E-4 0.0014084507 7.7901845E-4 0.0011732499 0.002013085 
phrasing 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 3.9542743E-4 
portrayed 6.367399E-4 3.5211266E-4 2.5967282E-4 7.821666E-4 5.0327124E-4 
williams 9.5510983E-4 3.5211266E-4 2.5967282E-4 7.821666E-4 8.6275075E-4 
hate 3.1836994E-4 3.5211266E-4 2.5967282E-4 0.0011732499 5.751672E-4 
jerry 9.5510983E-4 3.5211266E-4 0.0023370553 1.303611E-4 2.1568769E-4 
cowboys 0.0035020695 0.0014084507 5.1934563E-4 0.0010428888 8.986987E-4 
write 3.1836994E-4 3.5211266E-4 7.7901845E-4 6.518055E-4 3.5947948E-4 
order 0.0025469596 7.042253E-4 2.5967282E-4 0.0014339722 5.751672E-4 
oscar 6.367399E-4 0.0014084507 2.5967282E-4 9.125277E-4 0.0016176576 
similar 3.1836994E-4 3.5211266E-4 5.1934563E-4 9.125277E-4 3.5947948E-4 
period 9.5510983E-4 0.0017605633 0.0015580369 0.0011732499 8.986987E-4 
musical 6.367399E-4 3.5211266E-4 2.5967282E-4 9.125277E-4 6.83011E-4 
IN 0.0012734798 3.5211266E-4 5.1934563E-4 1.303611E-4 2.1568769E-4 
understand 3.1836994E-4 7.042253E-4 0.0018177096 0.0019554165 0.0016536056 
IS 0.0019102197 3.5211266E-4 2.5967282E-4 1.303611E-4 4.3137537E-4 
IT 0.0015918497 3.5211266E-4 2.5967282E-4 1.303611E-4 7.1895897E-4 
wives 3.1836994E-4 7.042253E-4 0.0010386913 7.821666E-4 0.0010424905 
slowly 3.1836994E-4 3.5211266E-4 7.7901845E-4 1.303611E-4 3.5947948E-4 
script 3.1836994E-4 0.0014084507 5.1934563E-4 3.910833E-4 5.392192E-4 
loving 3.1836994E-4 3.5211266E-4 5.1934563E-4 3.910833E-4 8.6275075E-4 
charming 3.1836994E-4 3.5211266E-4 5.1934563E-4 6.518055E-4 2.5163562E-4 
women 0.0015918497 0.0042253523 0.0015580369 0.0043019163 0.004888921 
woman 9.5510983E-4 7.042253E-4 0.0010386913 0.001303611 0.0014019699 
singer 9.5510983E-4 3.5211266E-4 0.001298364 3.910833E-4 6.1111513E-4 
tone 9.5510983E-4 3.5211266E-4 5.1934563E-4 6.518055E-4 2.875836E-4 
save 9.5510983E-4 0.0010563381 2.5967282E-4 1.303611E-4 2.5163562E-4 
chords 3.1836994E-4 3.5211266E-4 5.1934563E-4 5.214444E-4 5.751672E-4 
guy 6.367399E-4 0.0010563381 7.7901845E-4 1.303611E-4 2.875836E-4 
matter 3.1836994E-4 3.5211266E-4 5.1934563E-4 9.125277E-4 0.0011862823 
courage 6.367399E-4 3.5211266E-4 2.5967282E-4 2.607222E-4 4.6732332E-4 
asked 9.5510983E-4 0.0010563381 5.1934563E-4 1.303611E-4 3.2353154E-4 
top 3.1836994E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 5.751672E-4 
era 3.1836994E-4 7.042253E-4 7.7901845E-4 2.607222E-4 4.6732332E-4 
rights 3.1836994E-4 7.042253E-4 2.5967282E-4 7.821666E-4 4.6732332E-4 
casting 0.0012734798 3.5211266E-4 5.1934563E-4 5.214444E-4 6.1111513E-4 
share 3.1836994E-4 7.042253E-4 2.5967282E-4 7.821666E-4 4.6732332E-4 
speak 3.1836994E-4 3.5211266E-4 0.0010386913 2.607222E-4 3.2353154E-4 
gilbert 3.1836994E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 6.83011E-4 
product 0.0035020695 7.042253E-4 0.0020773825 0.0010428888 8.268028E-4 
honestly 6.367399E-4 3.5211266E-4 5.1934563E-4 2.607222E-4 3.2353154E-4 
question 9.5510983E-4 7.042253E-4 5.1934563E-4 3.910833E-4 2.5163562E-4 
bought 0.0012734798 0.0035211267 0.0015580369 0.0014339722 0.0015457617 
lover 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 3.9542743E-4 
loves 3.1836994E-4 7.042253E-4 2.5967282E-4 5.214444E-4 7.9085486E-4 
spirit 3.1836994E-4 7.042253E-4 2.5967282E-4 5.214444E-4 4.6732332E-4 
filled 3.1836994E-4 7.042253E-4 2.5967282E-4 3.910833E-4 2.875836E-4 
cheap 6.367399E-4 3.5211266E-4 2.5967282E-4 7.821666E-4 1.7973974E-4 
granddaughter 3.1836994E-4 3.5211266E-4 5.1934563E-4 1.303611E-4 2.875836E-4 
picture 9.5510983E-4 0.0010563381 2.5967282E-4 0.0014339722 0.0014379179 
powerful 3.1836994E-4 3.5211266E-4 7.7901845E-4 1.303611E-4 9.3464664E-4 
future 6.367399E-4 3.5211266E-4 2.5967282E-4 5.214444E-4 2.5163562E-4 
movement 6.367399E-4 3.5211266E-4 0.0010386913 2.607222E-4 2.5163562E-4 
heartbreaking 3.1836994E-4 3.5211266E-4 5.1934563E-4 2.607222E-4 5.392192E-4 
minor 3.1836994E-4 0.0010563381 0.0010386913 3.910833E-4 3.2353154E-4 
screen 3.1836994E-4 3.5211266E-4 0.0015580369 0.0010428888 0.0011862823 
points 3.1836994E-4 0.0010563381 7.7901845E-4 3.910833E-4 2.5163562E-4 
earlier 6.367399E-4 7.042253E-4 7.7901845E-4 1.303611E-4 3.2353154E-4 
west 6.367399E-4 3.5211266E-4 5.1934563E-4 2.607222E-4 3.9542743E-4 
intense 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 7.549069E-4 
actress 3.1836994E-4 0.0010563381 0.0010386913 0.0011732499 4.3137537E-4 
including 3.1836994E-4 3.5211266E-4 2.5967282E-4 6.518055E-4 7.1895897E-4 
read 0.0028653296 0.0024647887 0.0015580369 0.0016946943 0.0023725645 
acoustic 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 3.5947948E-4 
touch 6.367399E-4 7.042253E-4 2.5967282E-4 5.214444E-4 4.3137537E-4 
plenty 6.367399E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 4.3137537E-4 
real 0.0035020695 0.0014084507 0.0015580369 0.0019554165 0.002084981 
christmas 9.5510983E-4 0.0010563381 7.7901845E-4 5.214444E-4 0.0010424905 
carter 3.1836994E-4 3.5211266E-4 2.5967282E-4 1.303611E-4 3.594795E-5 
condition 3.1836994E-4 3.5211266E-4 2.5967282E-4 3.910833E-4 2.5163562E-4 
improve 3.1836994E-4 3.5211266E-4 7.7901845E-4 7.821666E-4 3.2353154E-4 
scales 9.5510983E-4 3.5211266E-4 5.1934563E-4 1.303611E-4 7.1895897E-4 
basic 6.367399E-4 0.0010563381 7.7901845E-4 9.125277E-4 5.392192E-4 
twist 3.1836994E-4 3.5211266E-4 0.0010386913 0.0010428888 0.0011143864 
technique 0.0022285897 3.5211266E-4 0.0020773825 7.821666E-4 0.0014738658 
